iter	Passed	Remaining
0	0	497
1	0	436
2	1	412
3	1	396
4	1	387
5	2	380
6	2	376
7	2	371
8	3	369
9	3	366
10	4	366
11	4	365
12	5	427
13	6	423
14	6	420
15	6	417
16	7	412
17	8	440
18	8	435
19	8	431
20	9	425
21	9	421
22	9	416
23	10	414
24	10	410
25	10	407
26	11	404
27	11	401
28	11	396
29	12	402
30	12	401
31	13	399
32	13	399
33	14	398
34	14	403
35	14	401
36	15	403
37	15	402
38	16	402
39	16	398
40	16	396
41	17	395
42	17	394
43	18	392
44	18	391
45	18	389
46	19	388
47	19	387
48	19	385
49	20	384
50	20	383
51	20	382
52	21	380
53	21	379
54	22	378
55	22	377
56	22	376
57	23	375
58	24	384
59	24	383
60	24	382
61	25	381
62	25	379
63	26	380
64	26	379
65	26	378
66	27	377
67	27	376
68	27	375
69	28	374
70	28	373
71	28	372
72	29	372
73	29	372
74	30	371
75	30	371
76	30	370
77	31	369
78	31	368
79	31	367
80	32	367
81	32	367
82	33	367
83	33	367
84	34	366
85	34	365
86	34	365
87	35	364
88	36	369
89	36	369
90	36	369
91	37	368
92	37	367
93	38	367
94	38	366
95	38	365
96	39	365
97	39	363
98	39	363
99	40	362
100	40	362
101	41	361
102	41	360
103	41	359
104	42	359
105	42	359
106	43	364
107	44	363
108	44	363
109	44	362
110	45	361
111	45	360
112	45	359
113	46	359
114	46	358
115	47	358
116	47	358
117	47	357
118	48	357
119	48	356
120	48	355
121	49	359
122	50	358
123	50	358
124	51	357
125	51	356
126	51	356
127	52	356
128	52	355
129	52	354
130	53	353
131	53	353
132	54	352
133	54	352
134	54	351
135	55	351
136	55	350
137	55	349
138	56	352
139	57	351
140	57	350
141	57	350
142	58	349
143	58	348
144	59	348
145	59	347
146	59	346
147	60	345
148	60	345
149	60	344
150	61	344
151	61	344
152	62	343
153	62	343
154	62	342
155	63	341
156	63	341
157	63	340
158	64	340
159	64	339
160	65	338
161	65	338
162	65	337
163	66	337
164	66	336
165	66	335
166	67	335
167	67	334
168	67	333
169	68	333
170	68	332
171	68	331
172	69	331
173	69	330
174	70	330
175	70	330
176	70	329
177	71	329
178	71	328
179	71	327
180	72	327
181	72	326
182	73	325
183	73	325
184	73	324
185	74	324
186	74	323
187	74	323
188	75	322
189	75	323
190	76	322
191	76	321
192	76	321
193	77	321
194	77	320
195	78	320
196	78	319
197	78	319
198	79	318
199	79	318
200	79	317
201	80	317
202	80	316
203	80	316
204	81	315
205	81	314
206	82	317
207	83	316
208	83	316
209	83	315
210	84	315
211	84	314
212	85	314
213	85	314
214	86	314
215	86	313
216	86	313
217	87	313
218	87	312
219	88	312
220	88	311
221	88	311
222	89	310
223	89	309
224	89	309
225	90	309
226	90	308
227	91	308
228	91	307
229	91	307
230	92	306
231	92	306
232	92	305
233	93	305
234	93	304
235	93	304
236	94	303
237	94	302
238	94	302
239	95	301
240	95	301
241	96	300
242	96	300
243	96	299
244	97	299
245	97	298
246	97	298
247	98	297
248	98	297
249	98	296
250	99	296
251	99	296
252	100	295
253	100	295
254	100	294
255	101	294
256	101	293
257	102	293
258	102	292
259	102	292
260	103	292
261	103	291
262	103	291
263	104	290
264	104	290
265	104	289
266	105	289
267	105	288
268	106	288
269	106	287
270	106	287
271	107	286
272	107	286
273	107	285
274	108	285
275	108	285
276	109	284
277	109	284
278	109	283
279	110	283
280	110	282
281	110	282
282	111	281
283	111	281
284	111	280
285	112	280
286	112	279
287	113	279
288	113	279
289	113	278
290	114	278
291	114	277
292	114	277
293	115	276
294	115	276
295	115	275
296	116	275
297	116	274
298	117	274
299	117	273
300	117	273
301	118	273
302	118	272
303	118	272
304	119	272
305	119	271
306	120	271
307	120	271
308	121	270
309	121	270
310	122	270
311	122	270
312	122	269
313	123	269
314	123	268
315	123	268
316	124	267
317	125	268
318	125	267
319	125	267
320	126	267
321	126	266
322	127	266
323	127	266
324	127	265
325	128	265
326	128	264
327	128	264
328	129	263
329	130	265
330	131	264
331	131	264
332	131	263
333	132	263
334	132	263
335	132	262
336	133	262
337	133	262
338	134	262
339	135	262
340	135	262
341	135	261
342	136	261
343	136	260
344	137	260
345	137	260
346	137	259
347	138	259
348	138	258
349	139	258
350	139	257
351	139	257
352	140	256
353	140	256
354	140	255
355	141	255
356	141	255
357	142	254
358	142	254
359	143	254
360	143	253
361	143	253
362	144	253
363	144	252
364	144	252
365	145	251
366	145	251
367	146	251
368	146	250
369	146	250
370	147	249
371	147	249
372	148	248
373	148	248
374	148	248
375	149	247
376	149	247
377	150	247
378	150	247
379	151	246
380	151	246
381	152	246
382	152	245
383	152	245
384	153	244
385	153	244
386	153	243
387	154	243
388	154	242
389	155	242
390	155	242
391	155	241
392	156	241
393	156	240
394	156	240
395	157	239
396	157	239
397	157	238
398	158	238
399	158	237
400	158	237
401	159	236
402	159	236
403	159	235
404	161	236
405	161	236
406	161	235
407	162	235
408	162	235
409	163	234
410	163	234
411	163	233
412	164	233
413	164	232
414	164	232
415	167	234
416	169	236
417	170	237
418	174	242
419	174	241
420	175	241
421	175	240
422	175	240
423	176	239
424	176	239
425	177	238
426	179	240
427	179	240
428	180	239
429	180	239
430	180	238
431	181	238
432	181	237
433	182	237
434	182	236
435	182	236
436	183	236
437	183	235
438	184	235
439	184	235
440	185	234
441	185	234
442	185	233
443	186	233
444	186	232
445	186	232
446	187	231
447	187	231
448	188	230
449	188	230
450	188	229
451	189	229
452	189	228
453	189	228
454	190	227
455	190	227
456	191	226
457	191	226
458	191	226
459	192	225
460	192	225
461	192	224
462	193	224
463	193	223
464	194	224
465	195	223
466	195	223
467	195	222
468	196	222
469	196	221
470	196	221
471	197	220
472	197	220
473	198	219
474	198	219
475	198	218
476	199	218
477	199	217
478	199	217
479	200	216
480	200	216
481	200	215
482	201	215
483	201	215
484	202	214
485	202	214
486	202	213
487	203	213
488	203	212
489	203	212
490	204	211
491	204	211
492	204	210
493	205	210
494	205	209
495	206	209
496	206	208
497	206	208
498	207	208
499	207	207
500	208	207
501	208	206
502	208	206
503	209	205
504	209	205
505	209	204
506	210	204
507	210	204
508	211	203
509	211	203
510	211	202
511	212	202
512	212	201
513	213	201
514	213	200
515	213	200
516	214	200
517	214	199
518	215	199
519	215	199
520	216	198
521	216	198
522	217	197
523	217	197
524	217	197
525	218	196
526	218	196
527	218	195
528	219	195
529	219	194
530	219	194
531	220	193
532	220	193
533	221	192
534	221	192
535	221	192
536	222	191
537	222	191
538	222	190
539	223	190
540	223	189
541	224	189
542	224	188
543	224	188
544	225	187
545	225	187
546	225	187
547	226	186
548	226	186
549	227	185
550	227	185
551	227	185
552	228	184
553	228	184
554	229	183
555	229	183
556	229	182
557	230	182
558	230	181
559	231	181
560	231	181
561	232	181
562	232	180
563	233	180
564	233	179
565	233	179
566	234	178
567	234	178
568	235	178
569	235	177
570	235	177
571	236	176
572	236	176
573	237	175
574	237	175
575	238	175
576	238	175
577	239	174
578	239	174
579	239	173
580	240	173
581	240	172
582	241	172
583	241	172
584	241	171
585	242	171
586	242	170
587	243	170
588	243	169
589	243	169
590	244	168
591	244	168
592	244	168
593	245	167
594	245	167
595	246	166
596	246	166
597	246	165
598	247	165
599	247	164
600	247	164
601	248	164
602	248	163
603	248	163
604	249	162
605	249	162
606	250	161
607	250	161
608	250	160
609	251	160
610	251	160
611	251	159
612	252	159
613	252	158
614	252	158
615	253	157
616	253	157
617	253	156
618	254	156
619	254	156
620	255	155
621	255	155
622	255	154
623	256	154
624	256	153
625	256	153
626	257	153
627	257	152
628	258	152
629	259	152
630	259	151
631	259	151
632	260	150
633	260	150
634	261	150
635	261	149
636	261	149
637	262	148
638	262	148
639	262	147
640	263	147
641	263	147
642	263	146
643	264	146
644	264	145
645	265	145
646	265	144
647	265	144
648	266	143
649	266	143
650	266	143
651	267	142
652	267	142
653	267	141
654	268	141
655	268	140
656	269	140
657	269	140
658	269	139
659	270	139
660	270	138
661	270	138
662	271	137
663	271	137
664	272	137
665	272	136
666	272	136
667	273	135
668	273	135
669	273	134
670	274	134
671	274	134
672	275	133
673	275	133
674	275	132
675	276	132
676	276	131
677	276	131
678	277	131
679	277	130
680	277	130
681	278	129
682	278	129
683	279	128
684	279	128
685	279	128
686	280	127
687	280	127
688	280	126
689	281	126
690	281	125
691	281	125
692	282	125
693	282	124
694	282	124
695	283	123
696	283	123
697	284	122
698	284	122
699	284	122
700	285	121
701	285	121
702	285	120
703	286	120
704	286	119
705	286	119
706	287	119
707	287	118
708	288	118
709	288	117
710	288	117
711	289	117
712	289	116
713	290	116
714	290	115
715	290	115
716	291	114
717	291	114
718	291	114
719	292	113
720	292	113
721	292	112
722	293	112
723	293	111
724	294	111
725	294	111
726	295	110
727	295	110
728	295	110
729	296	109
730	296	109
731	297	108
732	297	108
733	297	107
734	298	107
735	298	107
736	299	106
737	299	106
738	299	105
739	300	105
740	300	105
741	300	104
742	301	104
743	301	103
744	302	103
745	302	102
746	302	102
747	303	102
748	303	101
749	303	101
750	304	100
751	304	100
752	305	100
753	305	99
754	306	99
755	306	98
756	306	98
757	307	98
758	307	97
759	308	97
760	308	96
761	308	96
762	309	96
763	309	95
764	309	95
765	310	94
766	310	94
767	311	93
768	311	93
769	311	93
770	312	92
771	312	92
772	312	91
773	313	91
774	313	91
775	313	90
776	314	90
777	314	89
778	314	89
779	315	88
780	315	88
781	316	88
782	316	87
783	316	87
784	317	86
785	317	86
786	317	86
787	318	85
788	318	85
789	318	84
790	319	84
791	319	84
792	320	83
793	320	83
794	321	82
795	321	82
796	321	81
797	322	81
798	322	81
799	322	80
800	323	80
801	323	79
802	324	79
803	325	79
804	325	78
805	325	78
806	326	78
807	326	77
808	326	77
809	327	76
810	327	76
811	327	75
812	329	75
813	329	75
814	329	74
815	330	74
816	330	74
817	331	73
818	331	73
819	332	72
820	332	72
821	332	72
822	333	71
823	333	71
824	333	70
825	334	70
826	334	69
827	334	69
828	335	69
829	335	68
830	335	68
831	336	67
832	336	67
833	337	67
834	337	66
835	337	66
836	338	65
837	338	65
838	338	65
839	339	64
840	339	64
841	340	63
842	340	63
843	341	63
844	341	62
845	341	62
846	342	61
847	342	61
848	343	61
849	343	60
850	343	60
851	344	59
852	344	59
853	345	58
854	345	58
855	345	58
856	346	57
857	346	57
858	347	57
859	347	56
860	348	56
861	348	55
862	349	55
863	349	55
864	349	54
865	350	54
866	350	53
867	350	53
868	351	52
869	351	52
870	351	52
871	352	51
872	352	51
873	352	50
874	353	50
875	353	50
876	354	49
877	354	49
878	354	48
879	355	48
880	355	48
881	355	47
882	356	47
883	356	46
884	357	46
885	357	45
886	357	45
887	358	45
888	358	44
889	358	44
890	359	43
891	359	43
892	359	43
893	360	42
894	360	42
895	361	41
896	361	41
897	361	41
898	362	40
899	362	40
900	362	39
901	364	39
902	364	39
903	364	38
904	367	38
905	370	38
906	372	38
907	377	38
908	385	38
909	387	38
910	389	38
911	391	37
912	394	37
913	396	37
914	398	37
915	400	36
916	401	36
917	403	36
918	404	35
919	408	35
920	410	35
921	413	34
922	413	34
923	414	34
924	414	33
925	415	33
926	415	32
927	415	32
928	416	31
929	416	31
930	417	30
931	417	30
932	418	30
933	418	29
934	418	29
935	419	28
936	419	28
937	420	27
938	420	27
939	420	26
940	421	26
941	421	25
942	422	25
943	422	25
944	423	24
945	423	24
946	424	23
947	424	23
948	426	22
949	427	22
950	428	22
951	428	21
952	429	21
953	431	20
954	432	20
955	432	19
956	433	19
957	433	19
958	434	18
959	434	18
960	435	17
961	435	17
962	436	16
963	437	16
964	437	15
965	437	15
966	438	14
967	438	14
968	438	14
969	439	13
970	439	13
971	440	12
972	440	12
973	440	11
974	441	11
975	441	10
976	442	10
977	442	9
978	443	9
979	443	9
980	443	8
981	444	8
982	444	7
983	445	7
984	445	6
985	445	6
986	446	5
987	446	5
988	446	4
989	447	4
990	447	4
991	448	3
992	449	3
993	449	2
994	450	2
995	450	1
996	450	1
997	451	0
998	451	0
999	451	0
